,numero_homicidio,muni_ocorrencia,municipio
0,619,3304557,Rio de Janeiro
1,436,3301702,Duque de Caxias
2,251,3304904,Sao Goncalo
3,149,3301009,Campos dos Goytacazes
4,137,3300100,Angra dos Reis
5,126,3305109,Sao Joao de Meriti
6,113,3300704,Cabo Frio
7,105,3301900,Itaborai
8,103,3302403,Macae
9,102,3303302,Niteroi
10,101,3306305,Volta Redonda
11,60,3302502,Mage
12,59,3305208,Sao Pedro da Aldeia
13,57,3303500,Nova Iguacu
14,51,3306008,Tres Rios
15,40,3300407,Barra Mansa
16,34,3304524,Rio das Ostras
17,33,3300456,Belford Roxo
18,30,3304201,Resende
19,28,3300209,Araruama
