id_municipio_ocorrencia,numero_homicidio,muni_ocorrencia
3304557,619,3304557
3301702,436,3301702
3304904,251,3304904
3301009,149,3301009
3300100,137,3300100
3305109,126,3305109
3300704,113,3300704
3301900,105,3301900
3302403,103,3302403
3303302,102,3303302
3306305,101,3306305
3302502,60,3302502
3305208,59,3305208
3303500,57,3303500
3306008,51,3306008
3300407,40,3300407
3304524,34,3304524
3300456,33,3300456
3304201,30,3304201
3300209,28,3300209
3303401,26,3303401
3303906,24,3303906
3302858,22,3302858
3302700,21,3302700
3302205,21,3302205
3305802,20,3305802
3302007,19,3302007
3300803,18,3300803
3303807,17,3303807
3304755,16,3304755
3301850,16,3301850
3302601,13,3302601
3300258,12,3300258
3301306,12,3301306
3300308,11,3300308
3305000,11,3305000
3300233,11,3300233
3302254,10,3302254
3301405,10,3301405
3304706,9,3304706
3304144,9,3304144
3303005,9,3303005
3303203,8,3303203
3304151,7,3304151
3305505,6,3305505
3302908,5,3302908
3304110,5,3304110
3301876,5,3301876
3306107,4,3306107
3305752,4,3305752
3302270,4,3302270
3303856,4,3303856
3303955,4,3303955
3304607,3,3304607
3304300,3,3304300
3304003,3,3304003
3304409,3,3304409
3305554,3,3305554
3303708,3,3303708
3306206,3,3306206
3302106,3,3302106
3302056,3,3302056
3303609,3,3303609
4106902,2,4106902
3305307,2,3305307
3304805,2,3304805
3301157,2,3301157
3301504,2,3301504
3300506,2,3300506
3305901,2,3305901
3300605,2,3300605
3304128,2,3304128
3555406,1,3555406
3531704,1,3531704
3550100,1,3550100
5005202,1,5005202
5205497,1,5205497
3305703,1,3305703
5212501,1,5212501
3548708,1,3548708
2103752,1,2103752
3305406,1,3305406
3305133,1,3305133
2923001,1,2923001
3127701,1,3127701
3147808,1,3147808
3162906,1,3162906
3201209,1,3201209
3201308,1,3201308
3202454,1,3202454
3300225,1,3300225
3300936,1,3300936
3301108,1,3301108
3301801,1,3301801
3303104,1,3303104
2913606,1,2913606
3304102,1,3304102
3304508,1,3304508
5221858,1,5221858
